Name,DID
Jason Reitman,D288
Jaume Collet-Serra,D289
Jean Richet,D290
Jee-woon Kim,D291
Jeff Grace,D292
Jeff Nichols,D293
Jeff Wadlow,D294
Jeffrey G. Hunt,D295
Jemaine Clement,D296
Jennifer Kent,D297
Jeremy Gillespie,D298
Jeremy Saulnier,D299
Jim Field Smith,D300
Jim Jarmusch,D301
Jim Mickle,D302
Jim Sheridan,D303
Jocelyn Moorhouse,D304
Jodie Foster,D305
Joe Carnahan,D306
Joe Johnston,D307
Joe Wright,D308
Joel Edgerton,D309
Joey Curtis,D310
John Butler,D311
John Carney,D312
John Crowley,D313
John Erick Dowdle,D314
John Francis Daley,D315
John Hamburg,D316
John Hillcoat,D317
John Krasinski,D318
John Lasseter,D319
John Lee Hancock,D320
John Luessenhop,D321
John Madden,D322
John Michael McDonagh,D323
John Moore,D324
John R. Leonetti,D325
John Stockwell,D326
John Wells,D327
Jon Favreau,D328
Jon Hurwitz,D329
Jon Kasdan,D330
Jon Lucas,D331
Jon M. Chu,D332
Jon S. Baird,D333
Jon Watts,D334
Jonathan Dayton,D335
Jonathan Glazer,D336
Jonathan Holbrook,D337
Jonathan Jakubowicz,D338
Jonathan Levine,D339
Jonathan Liebesman,D340
Jordan Vogt-Roberts,D341
Joseph Cedar,D342
Joseph Gordon-Levitt,D343
Joseph Kosinski,D344
Josh Boone,D345
Josh Gordon,D346
Josh Trank,D347
Joss Whedon,D348
Juan Carlos Fresnadillo,D349
Judd Apatow,D350
Julia Ducournau,D351
Julia Leigh,D352
Julie Taymor,D353
Justin Chadwick,D354
Justin Kelly,D355
Justin Kurzel,D356
Justin Lin,D357
Justin Simien,D358
Justin Tipping,D359
Karyn Kusama,D360
Kathryn Bigelow,D361
Katie Holmes,D362
Kelly Fremon Craig,D363
Ken Kwapis,D364
Ken Loach,D365
Kenneth Branagh,D366
Kenneth Lonergan,D367
Kevin Lima,D368
Kevin Smith,D369
Kimberly Peirce,D370
Kirk Jones,D371
Kirsten Sheridan,D372
Kyle Balda,D373
Kyle Patrick Alvarez,D374
Lana Wachowski,D375
Larry Charles,D376
Lars von Trier,D377
Lasse Hallstrm,D378
Lee Daniels,D379
Lee Toland Krieger,D380
Lee Unkrich,D381
Len Wiseman,D382
Lenny Abrahamson,D383
Leslye Headland,D384
Levan Gabriadze,D385
Liam Gavin,D386
Lisa Addario,D387
Lone Scherfig,D388
Louis Leterrier,D389
Luc Besson,D390
Luca Guadagnino,D391
Luke Greenfield,D392
Luke Scott,D393
Lynne Ramsay,D394
M. Night Shyamalan,D395
Makoto Shinkai,D396
Malcolm D. Lee,D397
Marc Forster,D398
Marc Webb,D399
Marcus Dunstan,D400
Marcus Nispel,D401
Maren Ade,D402
Mario Van Peebles,D403
Mark Andrews,D404
Mark Herman,D405
Mark Mylod,D406
Mark Osborne,D407
Mark Steven Johnson,D408
Mark Waters,D409
Mark Williams,D410
Martin Campbell,D411
Martin Koolhoven,D412
Martin McDonagh,D413
Martin Scorsese,D414
Mateo Gil,D415
Matt Brown,D416
Matt Reeves,D417
Matt Ross,D418
Matteo Garrone,D419
Matthew Vaughn,D420
Matthias Hoene,D421
Max Joseph,D422
McG,D423
Mel Gibson,D424
Michael Bay,D425
Michael Dowse,D426
Michael Dudok de Wit,D427
Michael Goi,D428
Michael Grandage,D429
Michael Haneke,D430
Michael Hoffman,D431
Michael J. Gallagher,D432
Michael Mann,D433
Michael Patrick King,D434
Michael Showalter,D435
Michael Spierig,D436
Micheal Bafaro,D437
Mick Jackson,D438
Miguel Arteta,D439
