MID,AID
794,1642
794,1897
795,72
795,1089
795,791
795,1898
796,178
796,1091
796,1643
796,1899
797,50
797,1092
797,1644
797,1900
798,121
798,564
798,1645
798,1901
799,262
799,1093
799,1646
799,1902
800,122
800,667
800,790
800,603
801,431
801,1094
801,783
801,1903
802,171
802,1095
802,982
802,1904
803,432
803,1096
803,1647
803,1905
804,44
804,1097
804,699
804,1906
805,291
805,715
805,1648
805,1907
806,60
806,1098
806,864
806,669
807,131
807,1099
807,1190
807,1908
808,106
808,703
808,1225
808,1909
809,433
809,603
809,1649
809,1910
810,342
810,1100
810,807
810,1911
811,434
811,1101
811,1650
811,1912
812,42
812,714
812,1651
812,1913
813,138
813,731
813,1652
813,1914
814,435
814,569
814,1653
814,1177
815,135
815,645
815,641
815,898
816,34
816,739
816,933
816,440
817,436
817,1102
817,1654
817,1915
818,191
818,1103
818,945
818,1916
819,437
819,668
819,1655
819,1917
820,438
820,1104
820,1656
820,1918
821,439
821,1105
821,910
821,1919
822,440
822,1106
822,578
822,17
823,283
823,760
823,1657
823,1920
824,441
824,1107
824,1484
824,1921
825,161
825,773
825,1018
825,945
826,442
826,970
826,1121
826,1922
827,276
827,1108
827,654
827,1923
828,443
828,1109
828,1658
828,1032
829,202
829,1110
829,1659
829,1924
830,444
830,1111
830,1660
830,1925
831,247
831,1112
831,1661
831,1926
832,109
832,652
832,1139
832,1927
833,147
833,557
833,791
833,1928
834,4
834,576
834,1662
834,1929
835,350
835,1113
835,825
835,1190
836,280
836,1114
836,1663
836,540
837,445
837,1115
837,1664
837,1930
838,228
838,1116
838,1665
838,1931
839,446
839,1117
839,1666
839,1932
840,288
840,1118
840,1667
840,1933
841,93
841,539
841,974
841,722
842,383
842,1119
842,1523
842,1412
843,290
843,940
843,664
843,1934
844,447
844,1120
844,1181
844,1935
845,34
845,1066
845,1027
845,1936
846,34
846,1121
846,1668
846,864
847,448
847,1122
847,1669
847,1937
848,377
848,1123
848,1670
848,1938
849,449
849,1124
849,1671
849,1301
850,450
850,1125
850,1423
850,1939
851,451
851,1126
851,969
851,1940
852,268
852,673
852,1672
852,1189
853,50
853,958
853,607
853,1095
854,441
854,978
854,573
854,1941
855,289
855,1127
855,173
855,1166
856,452
856,1128
856,1673
856,1942
857,50
857,541
857,1674
857,1943
858,324
858,1129
858,1675
858,1944
859,453
859,1130
859,1676
859,1132
860,173
860,1131
860,1677
860,1945
861,454
861,1132
861,1678
861,1946
862,455
862,1133
862,1679
862,1947
863,121
863,591
863,794
863,894
864,61
864,1134
864,1680
864,1053
865,311
865,1135
865,1137
865,320
866,92
866,1136
866,1681
866,1757
867,177
867,1137
867,1682
867,1948
868,456
868,1138
868,1683
868,884
869,109
869,1139
869,652
869,1949
870,126
870,589
870,1684
870,1950
871,457
871,1140
871,1685
871,1951
872,458
872,1141
872,1686
872,1952
873,82
873,1142
873,661
873,1953
874,15
874,1123
874,1605
874,1954
875,459
875,909
875,1687
875,1955
876,317
876,740
876,1688
876,1956
877,244
877,774
877,1689
877,1957
878,305
878,742
878,731
878,1118
879,154
879,760
879,1690
879,382
880,72
880,957
880,603
880,1523
881,460
881,1143
881,1691
881,1958
882,461
882,1144
882,1692
882,1788
883,41
883,891
883,763
883,929
884,128
884,561
884,1693
884,1959
885,244
885,822
885,1694
885,1960
886,64
886,687
886,1695
886,1961
887,64
887,1145
887,619
887,1962
888,100
888,1146
888,1696
888,1963
889,462
889,1147
889,1697
889,1964
890,156
890,991
890,608
890,605
891,463
891,1148
891,1698
891,1965
892,139
892,623
892,1699
892,1966
893,74
893,1149
893,1700
893,1967
894,464
894,1150
894,1701
894,1739
895,247
895,1151
895,1702
895,1968
896,465
896,1152
896,663
896,1969
897,5
897,742
897,636
897,1197
898,466
898,1153
898,1703
898,1970
899,459
899,868
899,1704
899,1971
900,467
900,561
900,1705
900,1972
901,169
901,1154
901,1706
901,1973
902,73
902,1155
902,1707
902,1974
903,92
903,1156
903,1708
903,579
904,211
904,687
904,868
904,1879
905,468
905,1018
905,694
905,935
906,420
906,555
906,1709
906,710
907,469
907,1157
907,1710
907,1392
908,135
908,1158
908,616
908,1975
909,470
909,1089
909,1711
909,1976
910,6
910,848
910,766
910,704
911,471
911,1159
911,1712
911,825
912,472
912,1160
912,1713
912,1880
913,473
913,1161
913,925
913,1977
914,474
914,1162
914,1714
914,1978
915,475
915,1019
915,1715
915,1979
916,476
916,1163
916,1716
916,1980
917,247
917,1164
917,1717
917,1981
918,477
918,1165
918,1718
918,1982
919,478
919,1166
919,1567
919,1983
920,392
920,1167
920,1719
920,1984
921,28
921,1168
921,1076
921,1985
922,479
922,1169
922,1720
922,1986
923,100
923,1170
923,623
923,1327
924,480
924,644
924,874
924,1987
925,481
925,969
925,1126
925,1114
926,81
926,533
926,1405
926,1988
927,482
927,1171
927,609
927,1989
928,4
928,888
928,1721
928,1990
929,29
929,1172
929,1722
929,1991
930,483
930,1173
930,19
930,1992
931,484
931,1174
931,1188
931,1993
932,216
932,875
932,1723
932,1994
933,404
933,852
933,1724
933,1337
934,479
934,880
934,1725
934,1995
935,485
935,1175
935,1726
935,1996
936,237
936,825
936,1727
936,1574
937,486
937,1176
937,1728
937,1997
938,487
938,1177
938,851
938,1998
939,311
939,570
939,1729
939,1999
940,135
940,745
940,608
940,93
941,488
941,648
941,1480
941,2000
942,81
942,533
942,1405
942,2001
943,489
943,1178
943,1730
943,2002
944,210
944,598
944,1731
944,1696
945,71
945,1179
945,1620
945,2003
946,490
946,1180
946,1732
946,2004
947,491
947,1181
947,1733
947,2005
948,492
948,1182
948,1734
948,2006
949,493
949,1183
949,1735
949,2007
950,494
950,1184
950,1736
950,2008
951,495
951,1185
951,1737
951,567
952,135
952,703
952,1738
952,2009
953,464
953,1150
953,1739
953,1701
954,496
954,1186
954,1740
954,2010
955,265
955,1035
955,1517
955,1127
956,100
956,1187
956,611
956,803
957,497
957,1188
957,1741
957,2011
958,131
958,924
958,608
958,2012
959,243
959,1189
959,1742
959,1366
960,498
960,1190
960,763
960,2013
961,3
961,1027
961,1159
961,2014
962,336
962,1191
962,1681
962,2015
963,178
963,978
963,1085
963,451
964,499
964,1192
964,1743
964,2016
965,500
965,1193
965,1744
965,1881
966,501
966,1075
966,1745
966,2017
967,502
967,1194
967,1054
967,2018
968,156
968,593
968,1746
968,2019
969,503
969,1195
969,1747
969,2020
970,41
970,621
970,1571
970,1848
971,504
971,1196
971,1748
971,2021
972,161
972,1197
972,1749
972,2022
973,299
973,1198
973,1750
973,742
974,505
974,1199
974,1751
974,2023
975,506
975,1200
975,1752
975,2024
976,507
976,1201
976,1753
976,2025
977,45
977,1202
977,633
977,878
978,368
978,1203
978,1754
978,2026
979,508
979,1159
979,554
979,1300
980,509
980,1204
980,1755
980,2027
981,510
981,1205
981,1756
981,2028
982,511
982,960
982,813
982,740
983,512
983,1123
983,1757
983,2029
984,513
984,1206
984,1758
984,2030
985,514
985,1124
985,1759
985,2031
986,515
986,713
986,555
986,2032
987,516
987,1207
987,1760
987,1918
988,517
988,854
988,1507
988,2033
989,518
989,1208
989,1761
989,2034
990,433
990,1209
990,718
990,2035
991,519
991,1210
991,1244
991,2036
992,520
992,1211
992,1762
992,2037
993,521
993,1113
993,1763
993,774
994,31
994,1212
994,1663
994,2038
995,495
995,1213
995,1764
995,2039
996,90
996,543
996,955
996,2040
997,522
997,1214
997,1765
997,2041
998,523
998,1215
998,1766
998,2042
999,524
999,1216
999,1767
999,2043
1000,525
1000,591
1000,1583
1000,2044
