MID,AID
184,1512
185,144
185,688
185,1311
185,2146
186,145
186,689
186,1312
186,2147
187,146
187,690
187,1313
187,2148
188,147
188,619
188,1314
188,666
189,7
189,649
189,900
189,636
190,148
190,691
190,669
190,2149
191,28
191,692
191,724
191,2150
192,149
192,693
192,1315
192,2151
193,150
193,694
193,818
193,758
194,151
194,528
194,800
194,2152
195,61
195,695
195,860
195,2153
196,32
196,696
196,715
196,2154
197,152
197,697
197,1316
197,1730
198,153
198,698
198,931
198,1021
199,33
199,699
199,1317
199,2155
200,154
200,700
200,1318
200,1677
201,126
201,701
201,1301
201,1065
202,155
202,702
202,1319
202,2156
203,156
203,703
203,1320
203,2157
204,67
204,704
204,1321
204,904
205,99
205,575
205,1322
205,276
206,3
206,557
206,808
206,1998
207,157
207,705
207,1323
207,2018
208,158
208,706
208,1324
208,2158
209,159
209,707
209,740
209,999
210,53
210,708
210,1325
210,2159
211,154
211,709
211,1063
211,2160
212,160
212,710
212,1326
212,2161
213,161
213,711
213,909
213,1517
214,162
214,712
214,715
214,1336
215,82
215,713
215,1314
215,2116
216,163
216,714
216,868
216,2162
217,32
217,715
217,303
217,814
218,164
218,580
218,1327
218,2163
219,165
219,716
219,1328
219,2164
220,166
220,717
220,878
220,2165
221,124
221,718
221,585
221,1566
222,167
222,719
222,1329
222,1078
223,168
223,720
223,1330
223,2166
224,127
224,721
224,1331
224,2116
225,169
225,722
225,1332
225,2167
226,170
226,723
226,1333
226,2168
227,171
227,724
227,1334
227,2169
228,172
228,725
228,1335
228,2170
229,173
229,606
229,1336
229,2171
230,2
230,726
230,1337
230,2172
231,174
231,727
231,1338
231,2173
232,175
232,728
232,585
232,2174
233,176
233,729
233,1339
233,2175
234,126
234,730
234,544
234,1281
235,82
235,619
235,590
235,701
236,177
236,631
236,1340
236,1470
237,178
237,731
237,1341
237,2176
238,47
238,732
238,1342
238,2177
239,179
239,733
239,1343
239,172
240,180
240,734
240,1344
240,599
241,64
241,723
241,1345
241,924
242,181
242,691
242,1346
242,2178
243,182
243,735
243,647
243,1346
244,183
244,736
244,1347
244,2179
245,177
245,737
245,1348
245,2180
246,74
246,738
246,561
246,1856
247,184
247,739
247,562
247,306
248,185
248,606
