Rank,GID
308,4
309,1
309,9
309,4
310,8
310,13
311,7
311,10
311,19
312,10
312,13
313,10
313,11
314,2
314,5
315,2
315,6
315,5
316,1
316,10
316,14
317,1
317,2
317,14
318,1
318,11
319,8
319,11
319,4
320,1
320,9
320,4
321,9
321,10
321,12
322,10
323,1
323,9
323,4
324,1
324,14
324,4
325,7
325,10
326,1
326,2
326,5
327,10
327,11
327,14
328,7
328,8
328,10
329,9
329,11
329,4
330,9
330,10
330,3
331,15
331,2
331,8
332,1
332,7
332,10
333,7
333,10
334,7
334,10
334,16
335,1
335,7
335,10
336,10
336,5
336,11
337,8
337,10
337,13
338,10
338,19
339,10
339,13
340,8
340,13
341,1
341,9
341,4
342,1
342,9
342,10
343,1
343,10
343,4
344,2
344,6
344,5
345,1
345,2
346,1
346,2
346,13
347,2
347,6
347,5
348,9
348,10
349,8
349,11
350,8
350,5
350,13
351,10
352,10
353,8
353,10
354,8
354,10
354,13
355,2
355,14
355,4
356,1
356,2
356,5
357,8
357,10
358,7
358,10
358,13
359,8
359,5
360,8
360,10
360,5
361,8
362,11
362,4
363,1
363,2
363,14
364,2
364,8
364,11
365,8
365,3
366,10
367,2
367,10
367,5
368,10
368,19
369,1
369,2
370,1
370,2
370,10
371,1
371,10
371,14
372,1
372,3
372,14
373,1
373,9
373,10
374,1
374,9
374,5
375,7
375,8
375,10
376,1
376,9
376,4
377,7
377,9
377,10
378,10
378,19
379,2
379,8
379,10
380,1
380,2
380,4
381,8
381,5
381,11
382,10
382,19
383,11
383,4
384,10
384,16
384,4
385,15
385,1
385,2
386,1
386,2
386,10
387,1
387,8
387,6
388,1
388,2
388,10
389,1
389,2
389,14
390,1
390,2
390,14
391,1
391,8
392,1
392,9
392,10
393,7
393,10
394,8
394,13
395,8
396,10
396,5
396,13
397,1
397,2
397,14
398,8
399,8
399,14
400,8
400,10
401,15
401,1
401,2
402,11
403,1
403,7
403,9
404,15
404,2
404,8
405,10
405,13
406,10
406,3
406,4
407,10
407,16
407,4
408,15
408,2
408,8
409,1
409,2
409,14
410,2
410,8
411,1
411,4
412,8
412,12
413,15
413,2
413,8
414,9
414,10
414,4
415,1
415,2
415,9
416,8
416,10
416,11
417,10
418,10
418,3
418,13
419,2
419,6
419,5
420,10
421,1
421,10
421,4
422,10
423,1
423,11
423,13
424,1
424,10
424,5
425,1
425,9
425,10
426,10
426,5
426,13
427,1
427,9
427,4
428,1
428,3
428,4
429,11
429,3
429,4
430,1
430,11
430,14
431,8
431,10
432,8
433,1
433,2
433,11
434,1
434,2
434,4
435,1
435,9
435,10
436,8
436,9
436,10
437,10
437,13
438,10
438,4
439,1
439,8
439,9
440,8
441,2
441,6
441,5
442,10
442,13
443,15
443,6
443,5
444,10
444,13
445,4
446,2
446,11
446,3
447,1
447,14
448,2
448,8
448,10
449,15
449,1
449,2
450,10
450,11
451,1
451,2
451,14
452,8
452,10
453,1
453,11
453,3
454,1
454,4
455,1
455,2
455,14
456,10
457,8
457,10
457,13
458,8
458,9
459,8
459,13
460,10
460,13
461,9
461,10
461,4
462,11
462,3
462,4
463,7
463,10
464,10
464,3
464,14
465,2
465,8
465,6
466,1
466,2
466,9
467,1
467,9
467,3
468,3
468,4
469,1
469,14
469,4
470,1
470,8
470,9
471,7
471,9
471,10
472,7
472,10
472,16
473,1
473,2
473,14
474,2
474,6
474,5
475,7
475,10
475,16
476,7
476,8
476,10
477,10
477,4
478,11
478,4
479,10
480,10
480,17
481,8
481,10
481,13
482,10
482,13
482,14
483,1
483,9
483,10
484,8
484,10
485,15
485,1
485,2
486,2
486,8
486,10
487,8
487,10
487,6
488,10
488,13
488,4
489,8
489,9
489,10
490,15
490,8
490,6
491,10
491,11
491,14
492,1
492,2
492,10
493,1
493,11
493,14
494,1
494,9
494,19
495,10
495,11
495,14
496,10
496,11
496,14
497,1
497,2
497,8
498,3
498,14
498,4
499,9
499,10
499,4
500,15
500,2
500,8
501,1
501,14
501,4
502,10
502,13
503,9
503,10
503,4
504,8
504,10
504,12
505,10
505,5
505,13
506,9
506,10
506,4
507,9
507,10
507,4
508,8
508,10
508,13
509,8
509,13
510,10
510,14
510,4
511,10
511,17
512,1
512,9
512,10
513,14
513,4
514,2
514,10
514,11
515,8
515,10
515,12
516,8
516,10
516,13
517,1
517,2
517,10
518,1
518,9
518,10
519,2
519,5
520,10
520,13
521,7
521,16
521,4
522,9
522,10
522,4
523,1
523,10
523,16
524,7
524,8
524,10
525,9
525,10
525,4
526,1
526,7
526,10
527,1
527,10
527,14
528,2
528,11
529,1
529,2
529,14
530,1
530,2
530,3
531,8
531,10
531,13
532,11
532,4
533,1
533,14
533,4
534,1
534,14
534,4
535,7
535,10
536,1
536,9
536,10
537,1
537,9
537,3
538,1
538,2
538,8
539,9
539,10
539,4
540,9
540,10
541,3
541,4
542,3
542,14
542,4
543,1
543,3
543,14
544,10
544,13
545,10
545,4
546,10
546,3
546,14
547,8
547,10
548,2
548,6
548,5
549,7
549,10
549,19
550,10
551,8
551,10
551,13
552,7
552,10
552,13
553,1
553,2
553,14
554,10
554,14
554,4
555,10
555,13
555,4
556,3
556,4
557,3
557,4
558,1
558,10
558,5
559,1
559,2
559,7
560,2
560,8
560,14
561,1
561,2
561,4
562,5
562,11
563,11
563,3
564,15
564,2
564,8
565,1
565,2
565,10
566,2
566,6
566,5
567,1
567,2
567,14
568,8
568,10
569,8
569,10
570,9
570,10
570,4
571,8
571,13
572,15
572,8
572,6
573,8
573,10
574,8
574,10
575,7
575,10
575,19
576,1
576,2
576,5
577,1
577,10
577,16
578,1
578,2
578,14
579,1
579,2
579,3
580,9
580,10
580,3
581,1
582,1
582,2
582,6
583,8
583,13
584,8
584,10
584,13
585,7
585,10
585,19
586,1
586,5
586,4
587,7
587,10
587,19
588,1
588,10
588,5
589,2
589,14
589,4
590,15
590,2
590,8
591,10
591,3
591,4
592,10
592,13
593,9
593,10
593,3
594,8
594,13
594,19
595,8
595,6
596,10
596,11
596,3
597,1
597,10
597,19
598,1
598,2
598,8
599,10
599,3
599,14
600,15
600,1
600,8
601,1
601,9
601,10
602,1
602,9
602,10
603,8
603,10
603,13
604,15
604,1
604,2
605,9
605,10
606,10
607,10
608,8
608,9
609,10
610,1
610,2
610,5
611,10
611,5
611,13
612,8
612,10
613,10
613,5
613,4
614,7
614,9
614,10
615,8
615,10
615,13
616,1
616,9
616,10
617,14
618,1
618,7
618,10
619,1
619,8
619,13
620,2
620,8
620,10
621,8
621,9
621,10
622,1
622,5
622,11
623,10
623,11
624,11
625,1
625,4
626,1
626,2
626,3
627,1
627,2
627,5
628,8
628,10
628,13
629,9
629,10
629,3
630,2
630,8
630,6
631,8
631,10
631,13
632,8
633,8
633,10
633,11
634,10
634,11
634,4
635,15
635,2
635,6
636,8
636,13
637,3
637,13
637,14
638,9
638,10
639,10
639,11
639,3
640,8
641,7
641,10
642,8
642,10
642,4
643,8
643,18
644,10
644,16
644,17
645,10
645,11
645,14
646,10
647,8
647,10
648,5
648,11
648,4
649,10
649,13
650,1
650,8
650,5
651,10
651,11
651,3
652,9
652,10
652,3
653,11
653,3
653,4
654,8
654,12
655,10
656,7
656,9
656,10
657,10
658,1
658,2
658,8
659,9
659,10
659,3
660,10
661,1
661,8
661,9
662,8
662,10
662,13
663,9
663,10
663,3
664,1
664,8
664,9
665,10
666,10
666,13
667,9
667,10
667,3
668,2
668,8
668,13
669,8
669,9
669,10
670,2
670,10
670,4
671,7
671,9
671,10
672,9
672,10
672,4
673,10
673,16
673,4
674,1
674,2
674,14
675,1
675,8
676,11
677,1
677,9
677,3
678,8
678,13
679,8
680,1
680,10
680,4
681,1
681,2
681,14
682,10
682,3
682,4
683,8
683,10
683,13
684,1
684,5
684,11
685,10
685,13
686,7
686,10
687,7
687,10
688,1
688,2
688,14
689,15
689,2
689,8
690,10
690,3
690,4
691,1
691,11
691,14
692,10
692,13
693,7
693,10
694,1
694,2
694,10
695,2
695,10
695,5
696,10
696,6
697,8
697,10
697,13
698,10
698,13
698,14
699,1
699,2
699,4
700,8
700,13
701,9
701,10
701,11
702,8
702,5
703,1
703,8
703,9
704,2
704,10
704,13
705,1
705,9
705,10
706,9
706,11
706,4
707,13
707,14
707,4
708,8
708,10
708,13
709,9
709,10
710,9
710,10
710,3
711,1
711,2
711,14
712,15
712,5
713,15
713,2
713,8
714,10
714,3
714,17
715,8
715,13
716,15
716,8
716,6
717,8
718,11
718,3
718,4
719,1
719,2
719,10
720,8
721,10
722,2
722,7
722,10
723,8
724,11
724,4
725,1
725,10
725,6
726,8
726,5
726,11
727,8
727,13
728,10
728,3
728,13
729,1
729,2
729,8
730,4
731,8
732,2
732,8
732,14
733,8
733,10
733,5
734,3
734,4
735,8
735,10
736,2
736,10
736,6
737,11
737,4
738,1
738,10
738,13
739,10
739,13
740,1
740,2
740,5
741,8
742,1
742,7
742,10
743,10
743,3
743,13
744,2
744,10
744,18
745,10
745,12
745,13
746,8
746,13
746,18
747,4
748,8
748,10
748,13
749,11
749,4
750,2
750,6
750,5
751,9
751,10
751,3
752,11
752,3
753,8
753,9
753,10
754,1
754,8
754,13
755,7
755,10
755,16
756,2
756,10
757,10
757,4
758,10
759,1
759,2
759,5
760,1
760,7
760,10
761,10
761,12
762,8
762,10
763,10
763,4
763,17
764,1
764,3
764,4
765,11
765,14
765,4
766,8
766,10
766,13
767,1
767,14
768,1
768,2
768,5
769,10
769,3
769,13
770,10
771,1
771,2
771,4
772,1
772,9
772,4
773,15
773,1
773,2
774,10
774,5
774,3
775,10
775,14
776,15
776,2
776,8
777,11
777,4
778,1
778,4
779,8
780,7
780,10
781,1
781,3
781,4
782,1
782,3
782,14
783,9
783,10
783,4
784,8
784,13
785,8
785,10
785,13
786,7
786,10
786,4
787,10
788,1
788,2
788,6
789,15
789,8
789,6
790,1
790,9
790,10
791,8
792,8
792,9
792,4
793,8
793,13
794,15
794,8
794,10
795,1
795,9
795,4
796,8
796,13
797,2
797,7
797,10
798,15
798,2
798,8
799,9
799,10
799,3
800,1
800,8
800,14
801,8
801,5
801,11
802,8
802,9
803,15
803,1
803,2
804,1
804,10
804,4
805,5
805,11
806,9
806,10
806,4
807,1
807,2
807,5
808,8
808,10
808,13
809,7
809,10
809,13
810,1
810,10
810,16
811,1
811,2
811,8
812,11
812,4
813,11
813,3
813,4
814,8
814,13
815,15
815,2
815,8
816,9
816,10
816,3
817,9
817,10
817,3
818,2
818,7
818,10
819,11
819,3
819,4
820,11
820,4
821,10
821,13
821,17
822,2
822,5
822,3
823,1
823,2
823,14
824,7
824,10
825,10
825,4
826,11
826,4
827,10
827,11
827,4
828,1
828,2
828,5
829,1
829,11
829,4
830,8
831,10
831,19
832,8
832,6
833,10
833,13
834,1
834,2
834,8
835,8
836,3
836,13
836,4
837,9
837,10
838,1
838,8
839,9
839,10
839,3
840,7
840,10
840,13
841,8
841,9
842,10
842,4
843,10
844,15
844,2
844,8
845,1
845,4
846,10
846,4
847,15
847,2
847,8
848,9
848,10
848,3
849,4
850,7
850,10
850,19
851,9
851,10
851,4
852,10
852,12
853,9
853,10
853,4
854,10
854,13
855,15
855,1
855,2
856,8
856,10
857,1
857,2
857,10
858,7
858,9
858,10
859,11
860,7
860,10
860,3
861,10
861,13
862,15
862,10
862,13
863,8
863,6
864,10
865,3
865,4
866,10
866,5
866,11
867,10
867,13
868,7
868,10
868,16
869,8
869,6
870,1
870,2
870,4
871,8
871,10
872,1
872,2
872,5
873,1
873,4
874,10
874,13
875,8
875,10
875,13
876,10
876,11
876,14
877,8
877,11
877,13
878,10
879,1
879,2
879,14
880,1
880,2
880,5
881,1
881,2
881,10
882,7
882,8
882,10
883,10
883,3
883,13
884,15
884,2
884,8
885,10
885,13
885,14
886,10
887,10
887,5
888,10
888,13
889,8
889,11
889,4
890,8
890,10
890,13
891,9
891,10
892,8
892,13
893,1
893,10
893,6
894,8
894,10
894,13
895,1
895,4
895,17
896,1
896,8
896,11
897,7
897,10
897,19
898,2
898,8
898,10
899,8
899,13
900,8
900,13
901,8
901,10
901,13
902,1
902,2
902,9
903,8
903,13
904,15
904,1
904,2
905,1
905,9
905,14
906,10
907,8
907,10
907,13
908,9
908,4
909,8
909,11
909,14
910,10
910,4
911,10
911,5
911,11
912,4
913,2
913,10
913,6
914,3
914,14
914,4
915,7
915,9
915,10
916,10
916,5
916,11
917,1
917,2
917,4
918,9
918,10
918,11
919,9
919,10
919,5
920,2
920,6
920,5
921,1
921,2
921,10
922,1
922,8
922,11
923,8
923,10
923,6
924,1
924,4
925,1
925,2
925,14
926,2
926,10
926,5
927,10
928,10
929,8
930,10
931,8
931,10
931,12
932,10
932,5
932,12
933,10
934,4
935,8
935,11
936,1
936,8
936,19
937,11
938,8
938,10
939,1
939,10
939,4
940,10
940,13
941,11
941,3
942,2
942,10
942,5
943,4
944,8
944,13
945,1
945,14
945,4
946,5
946,3
946,4
947,7
947,10
948,9
948,10
949,1
949,2
949,14
950,2
951,8
951,10
952,8
952,10
953,8
953,10
953,13
954,2
954,8
954,10
955,1
955,14
955,4
956,8
956,13
957,1
957,5
957,11
958,9
958,10
958,4
959,1
959,10
959,4
960,9
960,10
960,3
961,9
961,10
961,3
962,10
962,14
962,4
963,7
963,10
963,16
964,9
964,11
964,4
965,10
966,10
966,3
966,4
967,2
967,7
968,2
968,7
968,9
969,1
969,11
969,4
970,1
970,2
970,18
971,11
971,4
972,10
972,3
972,4
973,8
973,10
974,11
974,3
975,7
975,10
975,19
976,8
976,6
976,13
977,10
977,3
977,4
978,8
979,10
980,10
980,4
981,7
981,10
981,6
982,8
982,10
982,6
983,10
983,5
983,12
984,8
985,2
985,6
986,2
986,8
986,5
987,11
987,4
988,10
988,13
989,11
990,7
990,10
990,16
991,1
991,2
991,5
992,10
992,6
992,12
993,8
993,10
993,13
994,1
994,2
994,11
995,8
996,9
996,10
996,3
997,11
998,10
998,12
998,13
999,2
999,8
1000,8
1000,6
1000,5
